anno,dt_ince,comune,sup_tot_ha,geom
2017,2017-05-21,2017/CA/3672,21.5686,POINT(8.981969897605703 39.15780531507907)
2017,2017-05-21,2017/CA/3674,6.9590,POINT(8.978540653467531 39.19253528204276)
2017,2017-05-21,2017/CA/3675,0.4516,POINT(9.077159765528064 39.34937792827394)
2017,2017-05-20,2017/CA/3677,0.1257,POINT(9.378814801999651 39.341042686865855)
2017,2017-05-24,2017/CA/3708,1.0693,POINT(8.914592707189778 39.38879544952154)
2017,2017-05-25,2017/CA/3712,0.8887,POINT(9.164997812006748 39.27219801159166)
2017,2017-05-14,2017/CA/3681,0.7331,POINT(8.638993651367983 39.5047522345223)
2017,2017-05-23,2017/CA/3685,0.2087,POINT(9.092026705355915 39.27342427557831)
2017,2017-05-23,2017/CA/3687,3.4178,POINT(9.159680584137924 39.513742501024765)
2017,2017-05-23,2017/CA/3692,1.1980,POINT(9.093624526951103 39.261387775725346)
2017,2017-05-24,2017/CA/3699,1.4764,POINT(8.769530299987329 39.57072656622558)
2017,2017-05-24,2017/CA/3700,1.3471,POINT(8.966393611808112 39.46881582309049)
2017,2017-05-25,2017/CA/3714,0.5232,POINT(9.16665571589742 39.22858474274031)
2017,2017-05-26,2017/CA/3723,5.5497,POINT(9.02610014877389 39.415609760465436)
2017,2017-05-26,2017/CA/3729,10.8652,POINT(9.157802527112697 39.59512377756197)
2017,2017-05-27,2017/CA/3733,1.3484,POINT(8.710287263389215 39.58958033080693)
2017,2017-07-17,2017/CA/4695,0.6376,POINT(8.787815997851478 39.64232337354688)
2017,2017-05-27,2017/CA/3740,0.2691,POINT(8.738664044112483 39.42877083780665)
2017,2017-05-27,2017/CA/3742,7.9153,POINT(8.713889406677142 39.59103478313557)
2017,2017-05-28,2017/CA/3743,4.0520,POINT(9.149683479478675 39.551489788694546)
2017,2017-05-28,2017/CA/3744,5.6132,POINT(8.990743365289122 39.266380057103106)
2017,2017-05-28,2017/CA/3745,32.9005,POINT(8.687096527695735 39.63701513784065)
