Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
F.TE SA PETTURINA,1,0.16,0.16,1619.7915259,LOW,High seasonal risk in Summer.
TUTTURIGHE,1,7.02,7.02,10085.21774181,LOW,High seasonal risk in Summer.
S'ABBAIA,1,3.06,3.06,30602.89028455,LOW,High seasonal risk in Summer.
R. 'E S'ADDE,1,13.10,13.10,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE PEDDIO,1,0.77,0.77,7678.36770021,LOW,High seasonal risk in Summer.
TIDDIRIS,1,2.30,2.30,23048.95791762,LOW,High seasonal risk in Summer.
OVOLACCIO,1,0.48,0.48,0,LOW,High seasonal risk in Summer.
MURA PRANOSA,1,0.92,0.92,9191.95911781,LOW,High seasonal risk in Summer.
SU NOU E PEDRAMAGGIORE,1,0.08,0.08,820.14161302,LOW,High seasonal risk in Summer.
FUNT.NA PIARZA,1,0.73,0.73,7301.4509123,LOW,High seasonal risk in Summer.
N.GHE PISCHINARZA,1,0.21,0.21,2112.80187233,LOW,High seasonal risk in Summer.
BIGHINZONE,1,3.98,3.98,39775.18839761,LOW,High seasonal risk in Summer.
N.GHE PUBUTTU,1,0.25,0.25,2481.43459886,LOW,High seasonal risk in Summer.
M. MAGURI,1,0.37,0.37,2954.58944534,LOW,High seasonal risk in Summer.
SEDDA 'E RUGHES,1,1.52,1.52,1056.53947249,LOW,High seasonal risk in Summer.
C. MAZZONE,1,0.57,0.57,0,LOW,High seasonal risk in Summer.
FUNT.NA GIAGA,1,2.25,2.25,7625.6773223,LOW,High seasonal risk in Summer.
OZZASTRERA,1,0.54,0.54,5391.51906273,LOW,High seasonal risk in Summer.
SU NATOLU BIANCU,1,6.78,6.78,0,LOW,High seasonal risk in Summer.
C. SCARPA,1,4.60,4.60,23728.00676109,LOW,High seasonal risk in Summer.
TANCA SA SEDDAS,1,0.09,0.09,883,LOW,High seasonal risk in Summer.
PRADU CANNAS,1,19.50,19.50,195023,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
FUNT.NA TOSCONO,1,13.56,13.56,135621,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
