Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
CONTRA ALTA,1,2.92,2.92,29239.60251,LOW,High seasonal risk in Summer.
MONTIAZZO,1,1.31,1.31,13052.59953,LOW,High seasonal risk in Summer.
LA MULTA BONA,1,11.20,11.20,74036.5,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
P.TA LI CRINEDDI,1,18.87,18.87,133461,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
S. ROCCO,1,5.41,5.41,0,LOW,High seasonal risk in Summer.
ST.ZO LA TEGGHIA,1,1.14,1.14,11353.9088892,LOW,High seasonal risk in Summer.
LU NURACU,1,0.63,0.63,6301.87784948,LOW,High seasonal risk in Summer.
PEDRU BELLU,1,0.70,0.70,5800.0640458,LOW,High seasonal risk in Summer.
SARINA,1,0.42,0.42,4211.15796502,LOW,High seasonal risk in Summer.
M. GROSSU,1,44.19,44.19,135171.79884156,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
ST.ZI CAMPOS,1,0.21,0.21,0,LOW,High seasonal risk in Summer.
MORGONGIORI,1,0.00,0.00,0,LOW,High seasonal risk in Summer.
GONNOSCODINA,1,0.00,0.00,0,LOW,High seasonal risk in Summer.
ROMANA,1,1.69,1.69,16894,LOW,High seasonal risk in Summer.
MARA,1,0.00,0.00,0,LOW,High seasonal risk in Summer.
SCANO MONTIFERRO,1,0.00,0.00,0,LOW,High seasonal risk in Summer.
ERULA,1,0.00,0.00,0,LOW,High seasonal risk in Summer.
ASUNI,1,0.00,0.00,0,LOW,High seasonal risk in Summer.
TERGU,1,0.18,0.18,0,LOW,High seasonal risk in Summer.
BARRALI,1,3.41,3.41,0,LOW,High seasonal risk in Summer.
PISCINAS,1,0.68,0.68,0,LOW,High seasonal risk in Summer.
STINTINO,1,22.63,22.63,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
USSASSAI,1,0.00,0.00,0,LOW,High seasonal risk in Summer.
PAU,1,0.19,0.19,0,LOW,High seasonal risk in Summer.
CUGLIERI,1,0.76,0.76,0,LOW,High seasonal risk in Summer.
